FECHA,Tipo de Cambio,Superior,Regular,Diesel,Bunker,GLP CILINDRO,GLP LIBRAS
13-jun-21,7.74072,27.99,27.2,22.58,16.78,120.0,4.8
14-jun-21,7.737,28.19,27.4,22.7,17.04,120.0,4.8
15-jun-21,7.73582,28.19,27.4,22.7,17.04,120.0,4.8
16-jun-21,7.74111,28.19,27.4,22.7,17.04,120.0,4.8
17-jun-21,7.74153,28.19,27.4,22.7,17.04,120.0,4.8
18-jun-21,7.74443,28.19,27.4,22.7,17.04,120.0,4.8
19-jun-21,7.74443,28.19,27.4,22.7,17.04,120.0,4.8
20-jun-21,7.74443,28.19,27.4,22.7,17.04,120.0,4.8
21-jun-21,7.73757,27.68,26.86,21.88,17.29,120.0,4.8
22-jun-21,7.738,27.68,26.86,21.88,17.29,120.0,4.8
23-jun-21,7.74412,27.68,26.86,21.88,17.29,120.0,4.8
24-jun-21,7.74428,27.68,26.86,21.88,17.29,120.0,4.8
25-jun-21,7.75033,27.68,26.86,21.88,17.29,120.0,4.8
26-jun-21,7.75033,27.68,26.86,21.88,17.29,120.0,4.8
27-jun-21,7.75033,27.68,26.86,21.88,17.29,120.0,4.8
28-jun-21,7.75033,27.68,26.86,21.88,17.59,120.0,4.8
29-jun-21,7.75033,27.6,26.8,21.81,17.59,120.0,4.8
30-jun-21,7.74404,27.6,26.8,21.81,17.59,120.0,4.8
1-jul-21,7.744,27.6,26.8,21.81,17.59,120.0,4.8
2-jul-21,7.74502,27.6,26.8,21.81,17.59,120.0,4.8
3-jul-21,7.74502,27.6,26.8,21.81,17.59,120.0,4.8
4-jul-21,7.74502,27.6,26.8,21.81,17.59,120.0,4.8
5-jul-21,7.74235,28.78,27.98,22.97,17.59,120.0,4.8
6-jul-21,7.74274,28.78,27.98,22.97,17.59,120.0,4.8
7-jul-21,7.74339,28.78,27.98,22.97,17.59,120.0,4.8
8-jul-21,7.72481,28.78,27.98,22.97,17.59,120.0,4.8
9-jul-21,7.73186,28.78,27.98,22.97,17.59,120.0,4.8
10-jul-21,7.73802,28.78,27.98,22.97,17.59,120.0,4.8
11-jul-21,7.74072,28.78,27.98,22.97,17.59,120.0,4.8
12-jul-21,7.74072,28.64,27.84,22.82,17.09,120.0,4.8
13-jul-21,7.74072,28.64,27.84,22.82,17.09,120.0,4.8
14-jul-21,7.74309,28.64,27.84,22.82,17.09,120.0,4.8
15-jul-21,7.74341,28.64,27.84,22.82,17.09,120.0,4.8
16-jul-21,7.74478,28.64,27.84,22.82,17.09,120.0,4.8
17-jul-21,7.74478,28.64,27.84,22.82,17.09,120.0,4.8
18-jul-21,7.74478,28.64,27.84,22.82,17.09,120.0,4.8
19-jul-21,7.74535,28.34,27.54,22.55,17.32,120.0,4.8
20-jul-21,7.74279,28.34,27.54,22.55,17.32,120.0,4.8
21-jul-21,7.74457,28.34,27.54,22.55,17.32,120.0,4.8
22-jul-21,7.74615,28.34,27.54,22.55,17.32,120.0,4.8
23-jul-21,7.74671,28.34,27.54,22.55,17.32,120.0,4.8
24-jul-21,7.74671,28.34,27.54,22.55,17.32,120.0,4.8
25-jul-21,7.74671,28.34,27.54,22.55,17.32,120.0,4.8
26-jul-21,7.74425,28.09,27.29,22.1,16.82,120.0,4.8
27-jul-21,7.74312,28.09,27.29,22.1,16.82,120.0,4.8
28-jul-21,7.74328,28.09,27.29,22.1,16.82,120.0,4.8
29-jul-21,7.74762,28.09,27.29,22.1,16.82,120.0,4.8
30-jul-21,7.74751,28.09,27.29,22.1,16.82,120.0,4.8
31-jul-21,7.74751,28.09,27.29,22.1,16.82,120.0,4.8
1-ago-21,7.74751,28.09,27.29,22.1,16.82,120.0,4.8
2-ago-21,7.74846,29.1,28.28,23.1,17.32,120.0,4.8
3-ago-21,7.74181,29.1,28.28,23.1,17.32,120.0,4.8
4-ago-21,7.74579,29.1,28.28,23.1,17.32,120.0,4.8
5-ago-21,7.74765,29.1,28.28,23.1,17.32,120.0,4.8
6-ago-21,7.74821,29.1,28.28,23.1,17.32,120.0,4.8
7-ago-21,7.74821,29.1,28.28,23.1,17.32,120.0,4.8
8-ago-21,7.74821,29.1,28.28,23.1,17.32,120.0,4.8
9-ago-21,7.74671,29.09,28.27,23.09,17.02,120.0,4.8
10-ago-21,7.74134,29.09,28.27,23.09,17.02,120.0,4.8
11-ago-21,7.7395,29.09,28.27,23.09,17.02,120.0,4.8
12-ago-21,7.73969,29.09,28.27,23.09,17.02,120.0,4.8
13-ago-21,7.73802,29.09,28.27,23.09,17.02,120.0,4.8
14-ago-21,7.73802,29.09,28.27,23.09,17.02,120.0,4.8
15-ago-21,7.73802,29.09,28.27,23.09,17.02,120.0,4.8
16-ago-21,7.73802,29.09,28.27,23.09,17.02,120.0,4.8
17-ago-21,7.73577,28.8,28.0,22.8,17.02,120.0,4.8
18-ago-21,7.73522,28.8,28.0,22.8,17.02,120.0,4.8
19-ago-21,7.73636,28.8,28.0,22.8,17.02,120.0,4.8
20-ago-21,7.73501,28.8,28.0,22.8,17.02,120.0,4.8
21-ago-21,7.73501,28.8,28.0,22.8,17.02,120.0,4.8
22-ago-21,7.73501,28.8,28.0,22.8,17.02,120.0,4.8
23-ago-21,7.73248,28.79,27.99,22.79,16.67,120.0,4.8
24-ago-21,7.73216,28.79,27.99,22.79,16.67,120.0,4.8
25-ago-21,7.73273,28.79,27.99,22.79,16.67,120.0,4.8
26-ago-21,7.73256,28.79,27.99,22.79,16.67,120.0,4.8
27-ago-21,7.73179,28.79,27.99,22.79,16.67,120.0,4.8
28-ago-21,7.73179,28.79,27.99,22.79,16.67,120.0,4.8
29-ago-21,7.73179,28.79,27.99,22.79,16.67,120.0,4.8
30-ago-21,7.72752,28.79,27.99,22.79,17.57,120.0,4.8
31-ago-21,7.72957,28.79,27.99,22.79,17.57,120.0,4.8
1-sep-21,7.7308,28.79,27.99,22.79,17.57,120.0,4.8
2-sep-21,7.73415,28.79,27.99,22.79,17.57,120.0,4.8
3-sep-21,7.73213,28.79,27.99,22.79,17.57,120.0,4.8
4-sep-21,7.73213,28.79,27.99,22.79,17.57,120.0,4.8
5-sep-21,7.73213,28.79,27.99,22.79,17.57,120.0,4.8
6-sep-21,7.72922,29.11,28.4,23.2,17.87,120.0,4.8
7-sep-21,7.73432,29.11,28.4,23.2,17.87,120.0,4.8
8-sep-21,7.73144,29.11,28.4,23.2,17.87,120.0,4.8
9-sep-21,7.729,29.11,28.4,23.2,17.87,120.0,4.8
10-sep-21,7.73025,29.11,28.4,23.2,17.87,120.0,4.8
11-sep-21,7.73025,29.11,28.4,23.2,17.87,120.0,4.8
12-sep-21,7.73025,29.11,28.4,23.2,17.87,120.0,4.8
13-sep-21,7.72909,29.08,28.4,23.47,17.41,120.0,4.8
14-sep-21,7.7276,29.08,28.4,23.47,17.41,120.0,4.8
15-sep-21,7.7276,29.08,28.4,23.47,17.41,120.0,4.8
16-sep-21,7.72827,29.08,28.4,23.47,17.41,120.0,4.8
17-sep-21,7.73272,29.08,28.4,23.47,17.41,120.0,4.8
18-sep-21,7.73272,29.08,28.4,23.47,17.41,120.0,4.8
19-sep-21,7.73272,29.08,28.4,23.47,17.41,120.0,4.8
20-sep-21,7.73082,29.27,28.58,23.77,17.55,126.0,5.04
21-sep-21,7.72868,29.27,28.58,23.77,17.55,126.0,5.04
22-sep-21,7.73206,29.27,28.58,23.77,17.55,126.0,5.04
23-sep-21,7.73345,29.27,28.58,23.77,17.55,129.0,5.16
24-sep-21,7.7369,29.27,28.58,23.77,17.55,129.0,5.16
25-sep-21,7.7369,29.27,28.58,23.77,17.55,129.0,5.16
26-sep-21,7.7369,29.27,28.58,23.77,17.55,129.0,5.16
27-sep-21,7.73277,29.29,28.59,23.79,17.8,129.0,5.16
28-sep-21,7.73175,29.29,28.59,23.79,17.8,129.0,5.16
29-sep-21,7.73524,29.29,28.59,23.79,17.8,129.0,5.16
30-sep-21,7.73365,29.29,28.59,23.79,17.8,132.0,5.28
1-oct-21,7.73369,29.29,28.59,23.79,17.8,132.0,5.28
2-oct-21,7.73369,29.29,28.59,23.79,17.8,132.0,5.28
3-oct-21,7.73369,29.29,28.59,23.79,17.8,132.0,5.28
4-oct-21,7.72995,29.01,28.3,24.48,18.55,132.0,5.28
5-oct-21,7.72931,29.01,28.3,24.48,18.55,132.0,5.28
6-oct-21,7.73116,29.01,28.3,24.48,18.55,132.0,5.28
7-oct-21,7.73216,29.01,28.3,24.48,18.55,132.0,5.28
8-oct-21,7.73128,29.01,28.3,24.48,18.55,132.0,5.28
9-oct-21,7.73128,29.01,28.3,24.48,18.55,132.0,5.28
10-oct-21,7.73128,29.01,28.3,24.48,18.55,132.0,5.28
11-oct-21,7.72898,29.98,29.28,25.41,19.35,132.0,5.28
12-oct-21,7.72898,29.98,29.28,25.41,19.35,132.0,5.28
13-oct-21,7.73177,29.98,29.28,25.41,19.35,132.0,5.28
14-oct-21,7.72891,29.98,29.28,25.41,19.35,132.0,5.28
15-oct-21,7.73147,29.98,29.28,25.41,19.35,132.0,5.28
16-oct-21,7.73147,29.98,29.28,25.41,19.35,132.0,5.28
17-oct-21,7.73147,29.98,29.28,25.41,19.35,132.0,5.28
18-oct-21,7.73017,29.97,29.28,25.44,19.45,132.0,5.28
19-oct-21,7.72756,29.97,29.28,25.44,19.45,132.0,5.28
20-oct-21,7.72756,29.97,29.28,25.44,19.45,132.0,5.28
21-oct-21,7.72975,29.97,29.28,25.44,19.45,132.0,5.28
22-oct-21,7.73264,29.97,29.28,25.44,19.45,132.0,5.28
23-oct-21,7.73264,29.97,29.28,25.44,19.45,132.0,5.28
24-oct-21,7.73264,29.97,29.28,25.44,19.45,132.0,5.28
25-oct-21,7.72948,30.98,30.28,26.49,19.22,132.0,5.28
26-oct-21,7.72908,30.98,30.28,26.49,19.22,132.0,5.28
27-oct-21,7.73331,30.98,30.28,26.49,19.22,132.0,5.28
